,country,month-year,value
0,Albania,Jul2019,0
1,Algeria,Jul2019,0
2,Angola,Jul2019,1067
3,Argentina,Jul2019,77
4,Armenia,Jul2019,0
5,Australia,Jul2019,197
6,Austria,Jul2019,0
7,Azerbaijan,Jul2019,565
8,Bahrain,Jul2019,148
9,Bangladesh,Jul2019,0
10,Barbados,Jul2019,0
11,Belarus,Jul2019,39
12,Belgium,Jul2019,0
13,Belize,Jul2019,0
14,Bermuda,Jul2019,0
15,Bolivia,Jul2019,0
16,Brazil,Jul2019,1341
17,Brunei Darussalam,Jul2019,79
18,Bulgaria,Jul2019,0
19,Canada,Jul2019,3314
20,Albania,Aug2019,0
21,Algeria,Aug2019,0
22,Angola,Aug2019,1136
23,Argentina,Aug2019,66
24,Armenia,Aug2019,0
25,Australia,Aug2019,281
26,Austria,Aug2019,0
27,Azerbaijan,Aug2019,553
28,Bahrain,Aug2019,150
29,Bangladesh,Aug2019,0
30,Barbados,Aug2019,0
31,Belarus,Aug2019,50
32,Belgium,Aug2019,0
33,Belize,Aug2019,0
34,Bermuda,Aug2019,0
35,Bolivia,Aug2019,0
36,Brazil,Aug2019,1330
37,Brunei Darussalam,Aug2019,105
38,Bulgaria,Aug2019,0
39,Canada,Aug2019,3295
40,Albania,Sep2019,0
41,Algeria,Sep2019,516
42,Angola,Sep2019,1009
43,Argentina,Sep2019,61
44,Armenia,Sep2019,0
45,Australia,Sep2019,288
46,Austria,Sep2019,0
47,Azerbaijan,Sep2019,561
48,Bahrain,Sep2019,152
49,Bangladesh,Sep2019,0
50,Barbados,Sep2019,0
51,Belarus,Sep2019,56
52,Belgium,Sep2019,0
53,Belize,Sep2019,0
54,Bermuda,Sep2019,0
55,Bolivia,Sep2019,0
56,Brazil,Sep2019,1325
57,Brunei Darussalam,Sep2019,106
58,Bulgaria,Sep2019,0
59,Canada,Sep2019,3243
60,Albania,Oct2019,0
61,Algeria,Oct2019,562
62,Angola,Oct2019,998
63,Argentina,Oct2019,83
64,Armenia,Oct2019,0
65,Australia,Oct2019,294
66,Austria,Oct2019,0
67,Azerbaijan,Oct2019,540
68,Bahrain,Oct2019,138
69,Bangladesh,Oct2019,0
